,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,1,1,J.J. Henry,28,7
1,T2,T2,Jonathan Byrd,20,6
2,T2,T2,Darren Clarke,11,6
3,T2,T2,Chris DiMarco,26,6
4,T2,T2,Harrison Frazar,29,6
5,T2,T2,Lucas Glover,31,6
6,T2,T2,Lee Janzen,28,6
7,T2,T2,Thomas Levet,18,6
8,T2,T2,Corey Pavin,23,6
9,T2,T2,Justin Rose,28,6
10,T2,T2,Jeff Sluman,29,6
11,T12,T12,Arjun Atwal,33,5
12,T12,T12,Eric Axley,29,5
13,T12,T12,Bob Burns,9,5
14,T12,T12,Mark Calcavecchia,27,5
15,T12,T12,Daniel Chopra,33,5
16,T12,T12,Ben Curtis,26,5
17,T12,T12,Robert Damron,31,5
18,T12,T12,Jay Delsing,14,5
19,T12,T12,Bubba Dickerson,32,5
20,T12,T12,Joe Durant,28,5
21,T12,T12,David Duval,24,5
22,T12,T12,Steve Flesch,33,5
23,T12,T12,Mathias Grönberg,30,5
24,T12,T12,Tim Herron,27,5
25,T12,T12,Zach Johnson,27,5
26,T12,T12,Jonathan Kaye,32,5
27,T12,T12,Justin Leonard,26,5
28,T12,T12,Frank Lickliter II,29,5
29,T12,T12,Peter Lonard,22,5
30,T12,T12,Hunter Mahan,29,5
31,T12,T12,Troy Matteson,32,5
32,T12,T12,Bob May,21,5
33,T12,T12,Phil Mickelson,19,5
34,T12,T12,Sean O'Hair,30,5
35,T12,T12,Arron Oberholser,23,5
36,T12,T12,Joe Ogilvie,29,5
37,T12,T12,Geoff Ogilvy,20,5
38,T12,T12,José María Olazábal,18,5
39,T12,T12,Jeff Overton,28,5
40,T12,T12,D.A. Points,28,5
41,T12,T12,Brett Quigley,33,5
42,T12,T12,Chris Riley,27,5
43,T12,T12,Rory Sabbatini,24,5
44,T12,T12,"Wes Short, Jr.",33,5
45,T12,T12,Kyle Thompson,1,5
46,T12,T12,Nicholas Thompson,32,5
47,T12,T12,David Toms,22,5
48,T12,T12,Kirk Triplett,18,5
49,T12,T12,Charles Warren,27,5
50,T12,T12,Mike Weir,24,5
51,T12,T12,Dean Wilson,34,5
52,T12,T12,Tiger Woods,15,5
53,T12,T12,Azuma Yano,1,5
54,T55,T55,Michael Allen,25,4
55,T55,T55,Robert Allenby,22,4
56,T55,T55,Billy Andrade,24,4
57,T55,T55,Stuart Appleby,23,4
58,T55,T55,Woody Austin,31,4
59,T55,T55,Paul Azinger,30,4
60,T55,T55,Aaron Baddeley,25,4
61,T55,T55,Briny Baird,25,4
62,T55,T55,Craig Barlow,22,4
63,T55,T55,Doug Barron,28,4
64,T55,T55,Brian Bateman,26,4
65,T55,T55,Cameron Beckman,16,4
66,T55,T55,Rich Beem,27,4
67,T55,T55,Shane Bertsch,34,4
68,T55,T55,Henrik Bjornstad,31,4
69,T55,T55,Jason Bohn,29,4
70,T55,T55,David Branshaw,29,4
71,T55,T55,Jeff Brehaut,33,4
72,T55,T55,Olin Browne,30,4
73,T55,T55,Tom Byrum,11,4
74,T55,T55,Ángel Cabrera,12,4
75,T55,T55,Chad Campbell,25,4
76,T55,T55,Greg Chalmers,28,4
