,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Henrik Stenson,18,4750,2.0,8.0,,2250.0
1,2,2,Tiger Woods,16,2743,5.0,8.0,2007.0,2500.0
2,3,3,Steve Stricker,13,2650,,8.0,2100.0,1400.0
3,4,4,Adam Scott,16,2278,2.0,6.0,2472.0,2000.0
4,5,5,Zach Johnson,24,2238,1.0,8.0,2512.0,1800.0
5,6,6,Matt Kuchar,23,1823,2.0,8.0,2927.0,1600.0
6,7,7,Jordan Spieth,23,1690,1.0,9.0,3060.0,440.0
7,8,8,Graham DeLaet,26,1415,,7.0,3335.0,1200.0
8,9,9,Phil Mickelson,21,1313,2.0,7.0,3437.0,1000.0
9,10,10,Justin Rose,17,1300,1.0,7.0,3450.0,800.0
10,11,11,Webb Simpson,25,1050,,5.0,3700.0,300.0
11,12,12,Brandt Snedeker,23,853,2.0,9.0,3897.0,600.0
12,13,13,Dustin Johnson,22,760,1.0,6.0,3990.0,210.0
13,14,14,Jim Furyk,22,758,,7.0,3992.0,480.0
14,15,15,Nick Watney,26,738,,4.0,4012.0,460.0
15,16,16,Billy Horschel,26,728,1.0,8.0,4022.0,290.0
16,17,17,Jason Day,21,698,,7.0,4052.0,420.0
17,18,18,Keegan Bradley,25,693,,7.0,4057.0,380.0
18,19,19,Jason Dufner,22,685,1.0,5.0,4065.0,310.0
19,20,20,Hunter Mahan,25,653,,5.0,4097.0,400.0
20,21,21,Roberto Castro,29,645,,4.0,4105.0,270.0
21,22,22,Sergio Garcia,17,635,,6.0,4115.0,260.0
22,23,23,Gary Woodland,26,603,1.0,2.0,4147.0,360.0
23,24,24,Bill Haas,25,573,1.0,9.0,4177.0,340.0
24,25,25,Kevin Streelman,25,553,1.0,5.0,4197.0,320.0
25,26,26,Brendon de Jonge,30,503,,4.0,4247.0,240.0
26,27,27,Charl Schwartzel,19,490,,5.0,4260.0,280.0
27,28,28,Luke Donald,17,483,,5.0,4267.0,220.0
28,29,29,Boo Weekley,27,455,1.0,4.0,4295.0,250.0
29,30,30,D.A. Points,28,453,1.0,3.0,4297.0,230.0
30,31,31,Harris English,26,1442,1.0,4.0,5287.0,
31,32,32,Matt Jones,24,1419,,5.0,5310.0,
32,33,33,Kevin Stadler,25,1412,,3.0,5317.0,
33,34,34,Chris Kirk,24,1399,,3.0,5330.0,
34,35,35,Charles Howell III,26,1398,,5.0,5331.0,
35,36,36,Jimmy Walker,24,1388,,5.0,5341.0,
36,37,37,Bubba Watson,21,1365,,3.0,5364.0,
37,38,38,Rickie Fowler,22,1334,,5.0,5395.0,
38,39,39,John Merrick,23,1331,1.0,2.0,5398.0,
39,40,40,Daniel Summerhays,26,1307,,4.0,5422.0,
40,41,41,Lee Westwood,19,1291,,6.0,5438.0,
41,42,42,John Huh,28,1279,,2.0,5450.0,
42,43,43,Chris Stroud,26,1245,,4.0,5484.0,
43,44,44,Russell Henley,24,1238,1.0,3.0,5491.0,
44,45,45,Kevin Chappell,24,1237,,3.0,5492.0,
45,46,46,Rory Sabbatini,27,1230,,5.0,5499.0,
46,47,47,Brian Davis,28,1224,,4.0,5505.0,
47,48,48,David Lynn,22,1204,,2.0,5525.0,
48,49,49,Scott Piercy,24,1193,,4.0,5536.0,
49,50,50,Rory McIlroy,16,1190,,5.0,5539.0,
50,51,51,Ryan Moore,22,1185,,3.0,5544.0,
51,52,52,Jonas Blixt,24,1135,1.0,2.0,5594.0,
52,53,53,Ian Poulter,16,1133,,4.0,5596.0,
53,54,54,Patrick Reed,26,1125,1.0,5.0,5604.0,
54,55,55,Graeme McDowell,16,1116,1.0,4.0,5613.0,
55,56,56,David Hearn,26,1105,,2.0,5624.0,
56,57,57,Brian Gay,24,1099,1.0,1.0,5630.0,
57,58,58,Matt Every,28,1097,,4.0,5632.0,
58,59,59,Marc Leishman,23,1071,,4.0,5658.0,
59,60,60,Nicholas Thompson,29,1043,,2.0,5686.0,
60,61,61,Charley Hoffman,23,1016,,5.0,5713.0,
61,62,62,Jason Kokrak,25,1013,,4.0,5716.0,
62,63,63,Scott Stallings,27,991,,4.0,5738.0,
63,64,64,Bryce Molder,24,979,,,5750.0,
64,65,65,Ángel Cabrera,21,956,,2.0,5773.0,
65,66,66,Michael Thompson,22,938,1.0,3.0,5791.0,
66,67,67,Ken Duke,28,930,1.0,2.0,5799.0,
67,68,68,Ernie Els,19,918,,1.0,5811.0,
68,69,69,Sangmoon Bae,26,918,1.0,2.0,5811.0,
69,70,70,Brendan Steele,26,876,,2.0,5853.0,
70,71,71,Ryan Palmer,22,823,,4.0,5906.0,
71,72,72,Freddie Jacobson,19,821,,3.0,5908.0,
72,73,73,K.J. Choi,24,816,,2.0,5913.0,
73,74,74,Martin Laird,21,814,1.0,2.0,5915.0,
74,75,75,David Lingmerth,23,806,,3.0,5923.0,
75,76,76,Stewart Cink,22,783,,3.0,5946.0,
76,77,77,Kyle Stanley,24,759,,3.0,5970.0,
77,78,78,Josh Teater,24,726,,3.0,6003.0,
78,79,79,Cameron Tringale,24,726,,1.0,6003.0,
79,80,80,Tim Clark,20,703,,3.0,6026.0,
80,81,81,John Rollins,24,696,,2.0,6033.0,
81,82,82,Camilo Villegas,23,695,,2.0,6034.0,
82,83,83,Bob Estes,18,688,,2.0,6041.0,
83,84,84,Martin Kaymer,17,679,,3.0,6050.0,
84,85,85,Jerry Kelly,22,650,,2.0,6079.0,
85,86,86,Justin Leonard,24,644,,1.0,6085.0,
86,87,87,Martin Flores,25,630,,2.0,6099.0,
87,88,88,Scott Brown,21,628,1.0,1.0,6101.0,
