,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Michael Bradley,63,12.61,97,769,+0.175
1,2,2,Nick O'Hern,78,11.71,111,948,+0.270
2,3,3,Tom Pernice Jr.,62,10.62,77,725,+0.208
3,4,4,Nathan Green,73,9.65,77,798,+0.286
4,5,5,Colt Knost,79,9.51,89,936,+0.180
5,6,6,Trevor Immelman,76,8.78,70,797,+0.100
6,7,7,Bryce Molder,83,8.16,81,993,+0.235
7,8,8,J.J. Henry,93,8.09,80,989,+0.138
8,9,9,Billy Hurley III,70,8.02,64,798,+0.438
9,10,10,Charlie Wi,86,7.97,81,1016,+0.160
10,T11,T11,Bob Estes,78,7.95,72,906,+0.208
11,T11,T11,Brandt Jobe,57,7.95,50,629,+0.220
12,13,13,Gavin Coles,72,7.9,63,797,+0.143
13,14,14,Jason Bohn,81,7.84,72,918,+0.069
14,15,15,John Mallinger,74,7.76,68,876,+0.118
15,16,16,Ryuji Imada,78,7.68,74,963,+0.351
16,17,17,Sung Kang,75,7.65,66,863,+0.576
17,18,18,Michael Thompson,80,7.63,69,904,+0.174
18,19,19,Jerry Kelly,84,7.57,77,1017,+0.078
19,20,20,Derek Lamely,64,7.3,57,781,+0.211
20,21,21,Justin Leonard,79,7.19,68,946,+0.324
21,22,22,Jimmy Walker,101,7.1,90,1268,+0.144
22,23,23,Greg Chalmers,88,7.08,74,1045,+0.338
23,T24,T24,Kevin Na,80,7.05,64,908,+0.172
24,T24,T24,Mark Wilson,84,7.05,67,950,+0.134
25,26,26,Tiger Woods,69,6.99,47,672,+0.021
26,27,27,Ken Duke,104,6.94,87,1254,+0.241
27,28,28,Brian Gay,91,6.91,75,1086,+0.213
28,29,29,Ricky Barnes,92,6.89,79,1146,+0.329
29,30,30,Chris DiMarco,83,6.79,68,1002,+0.162
30,31,31,Stuart Appleby,75,6.73,61,907,+0.213
31,32,32,Kris Blanks,65,6.71,56,835,+0.161
32,33,33,David Mathis,83,6.65,64,963,+0.313
33,34,34,Arjun Atwal,79,6.64,61,919,+0.213
34,T35,T35,Charl Schwartzel,56,6.63,37,558,+0.108
35,T35,T35,Henrik Stenson,51,6.63,39,588,+0.051
36,37,37,Bobby Gates,87,6.6,70,1060,+0.200
37,38,38,Sergio Garcia,57,6.54,40,612,+0.125
38,T39,T39,Marc Leishman,84,6.51,69,1060,+0.188
39,T39,T39,Daniel Summerhays,81,6.51,62,952,+0.032
40,41,41,Gary Christian,91,6.5,68,1046,+0.162
41,T42,T42,Sangmoon Bae,81,6.44,51,792,+0.216
42,T42,T42,Luke Donald,63,6.44,43,668,+0.279
43,44,44,Padraig Harrington,67,6.39,40,626,+0.225
44,45,45,K.J. Choi,71,6.38,50,784,+0.120
45,46,46,David Toms,60,6.35,39,614,+0.205
46,T47,T47,Aaron Baddeley,73,6.33,49,774,+0.408
47,T47,T47,Matt Bettencourt,80,6.33,53,837,+0.302
48,49,49,Jason Day,57,6.27,41,654,+0.220
49,50,50,John Daly,50,6.25,33,528,+0.030
50,51,51,Daniel Chopra,55,6.15,37,602,+0.405
51,52,52,Alexandre Rocha,62,6.14,43,700,-0.093
52,53,53,Stewart Cink,71,6.12,46,752,+0.283
53,54,54,Hunter Haas,69,6.05,44,727,+0.273
54,T55,T55,Patrick Sheehan,58,6.01,37,616,+0.162
55,T55,T55,Brendan Steele,77,6.01,54,898,+0.241
56,57,57,Brian Davis,91,5.99,66,1101,+0.273
57,58,58,Chez Reavie,83,5.88,54,918,+0.148
58,59,59,Stephen Gangluff,57,5.82,35,601,+0.314
59,60,60,Cameron Tringale,88,5.78,62,1072,+0.129
60,61,61,Scott Dunlap,57,5.75,37,644,+0.243
61,62,62,Jonathan Byrd,69,5.74,45,784,-0.089
62,63,63,Kyle Reifers,86,5.73,59,1030,+0.068
63,64,64,Cameron Beckman,81,5.71,55,963,+0.164
64,65,65,Camilo Villegas,79,5.7,58,1018,+0.224
65,66,66,"Ted Potter, Jr.",77,5.63,48,852,+0.333
66,67,67,Kevin Stadler,85,5.61,55,980,+0.036
67,68,68,Ryan Moore,89,5.58,63,1130,+0.111
68,T69,T69,Stephen Ames,54,5.54,30,542,+0.233
69,T69,T69,J.J. Killeen,101,5.54,65,1173,+0.185
70,71,71,Chris Stroud,86,5.53,58,1049,+0.121
71,72,72,Jim Furyk,85,5.52,50,906,+0.020
72,73,73,Y.E. Yang,64,5.51,37,672,+0.378
73,T74,T74,Rory Sabbatini,84,5.47,55,1006,+0.255
74,T74,T74,Brendon Todd,78,5.47,48,878,+0.438
75,76,76,David Hearn,95,5.45,67,1229,+0.060
76,77,77,Kyle Thompson,51,5.42,28,517,+0.286
77,78,78,Kevin Streelman,89,5.41,58,1073,+0.207
78,79,79,Jason Kokrak,79,5.4,52,963,+0.096
79,T80,T80,Russell Knox,72,5.36,42,783,+0.167
80,T80,T80,D.A. Points,88,5.36,60,1120,+0.067
81,82,82,Robert Allenby,76,5.33,49,920,+0.306
82,83,83,Chad Campbell,84,5.3,54,1019,+0.019
83,T84,T84,Chris Couch,61,5.19,39,751,+0.154
84,T84,T84,Rocco Mediate,70,5.19,42,809,+0.262
85,T84,T84,Roland Thatcher,55,5.19,32,616,E
86,87,87,Jhonattan Vegas,77,5.17,50,967,+0.380
87,88,88,Johnson Wagner,88,5.16,55,1066,+0.109
88,89,89,Roberto Castro,92,5.15,54,1048,+0.185
89,T90,T90,Graham DeLaet,79,5.14,51,992,+0.078
90,T90,T90,James Driscoll,83,5.14,50,973,+0.400
91,T92,T92,Spencer Levin,81,5.1,47,922,+0.128
92,T92,T92,Pat Perez,81,5.1,49,960,+0.102
93,T94,T94,Tim Herron,88,5.09,54,1061,+0.185
94,T94,T94,Rod Pampling,88,5.09,49,963,+0.184
95,96,96,Scott Brown,65,5.06,36,711,-0.056
96,T97,T97,Blake Adams,107,5.05,62,1228,+0.177
97,T97,T97,John Huh,99,5.05,60,1188,-0.017
98,T97,T97,Zach Johnson,95,5.05,52,1030,+0.135
