,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Ryan Palmer,69,23.35,290,1242
1,2,2,Robert Garrigus,90,22.04,357,1620
2,3,3,Bob Tway,70,21.9,276,1260
3,4,4,Camilo Villegas,79,21.79,306,1404
4,5,5,John Huston,56,21.73,219,1008
5,6,6,Phil Mickelson,80,21.44,301,1404
6,7,7,Kenny Perry,97,21.36,373,1746
7,8,8,Padraig Harrington,52,21.22,191,900
8,9,9,Pat Perez,93,21.07,349,1656
9,10,10,Stewart Cink,87,21.06,307,1458
10,11,11,Jason Gore,94,21.04,356,1692
11,12,12,Tommy Gainey,60,21.02,227,1080
12,13,13,Anthony Kim,81,20.99,306,1458
13,14,14,Rory Sabbatini,77,20.98,287,1368
14,15,15,Steve Marino,119,20.92,448,2142
15,16,16,Chad Campbell,94,20.8,352,1692
16,17,17,Martin Laird,98,20.75,366,1764
17,18,18,Ken Duke,116,20.74,433,2088
18,19,19,J.B. Holmes,86,20.65,316,1530
19,T20,T20,Ben Crane,86,20.61,319,1548
20,T20,T20,Joe Ogilvie,100,20.61,371,1800
21,22,22,Bill Haas,99,20.59,367,1782
22,23,23,Michael Letzig,88,20.52,325,1584
23,24,24,Mark Hensby,71,20.5,262,1278
24,T25,T25,Nathan Green,95,20.47,350,1710
25,T25,T25,Justin Leonard,101,20.47,350,1710
26,27,27,Vijay Singh,82,20.44,287,1404
27,28,28,Kevin Streelman,114,20.42,419,2052
28,29,29,Mark Wilson,107,20.4,393,1926
29,30,30,Steve Elkington,84,20.37,308,1512
30,31,31,Robert Allenby,108,20.35,392,1926
31,T32,T32,George McNeill,97,20.33,355,1746
32,T32,T32,Tag Ridings,88,20.33,322,1584
33,34,34,Nick Watney,96,20.31,351,1728
34,35,35,Vaughn Taylor,103,20.23,375,1854
35,36,36,Nicholas Thompson,113,20.21,411,2034
36,37,37,Adam Scott,51,20.18,178,882
37,38,38,Jesper Parnevik,88,20.14,319,1584
38,39,39,Fred Couples,60,20.09,217,1080
39,40,40,Kevin Sutherland,98,20.07,354,1764
40,T41,T41,Brian Davis,108,20.06,390,1944
41,T41,T41,Kevin Stadler,90,20.06,325,1620
42,43,43,Tim Petrovic,97,20.05,350,1746
43,44,44,Brenden Pappas,66,20.03,238,1188
44,T45,T45,Michael Allen,91,20.02,328,1638
45,T45,T45,Carlos Franco,73,20.02,263,1314
46,47,47,Jeff Overton,103,20.01,371,1854
47,T48,T48,Brian Gay,102,19.99,367,1836
48,T48,T48,Frank Lickliter II,107,19.99,385,1926
49,50,50,Aaron Baddeley,76,19.94,262,1314
50,T51,T51,Jonathan Byrd,88,19.93,305,1530
51,T51,T51,Dustin Johnson,92,19.93,330,1656
52,T51,T51,Kevin Na,97,19.93,348,1746
53,T51,T51,Bubba Watson,97,19.93,348,1746
54,55,55,D.J. Trahan,94,19.92,337,1692
55,T56,T56,Stephen Ames,83,19.85,293,1476
56,T56,T56,Shane Bertsch,96,19.85,343,1728
57,T56,T56,Tim Clark,90,19.85,318,1602
58,59,59,Steve Allan,58,19.83,207,1044
59,60,60,Scott Verplank,82,19.82,289,1458
60,T61,T61,Cameron Beckman,87,19.8,310,1566
61,T61,T61,Marc Turnesa,87,19.8,310,1566
62,63,63,Mathew Goggin,91,19.78,324,1638
63,64,64,Jason Day,81,19.75,288,1458
64,T65,T65,Dudley Hart,74,19.74,263,1332
65,T65,T65,Charley Hoffman,94,19.74,334,1692
66,T65,T65,Hunter Mahan,87,19.74,302,1530
67,68,68,Tom Pernice Jr.,104,19.66,368,1872
68,69,69,Boo Weekley,86,19.61,293,1494
69,T70,T70,Scott McCarron,63,19.58,222,1134
70,T70,T70,Bo Van Pelt,101,19.58,356,1818
71,72,72,Carl Pettersson,110,19.55,387,1980
72,73,73,Daniel Chopra,84,19.54,292,1494
73,74,74,Sergio Garcia,72,19.52,246,1260
74,75,75,Troy Matteson,94,19.5,330,1692
75,T76,T76,Tommy Armour III,77,19.48,270,1386
76,T76,T76,Ryan Armour,87,19.48,305,1566
77,78,78,Steve Flesch,95,19.47,333,1710
78,79,79,Ryan Moore,72,19.44,252,1296
79,80,80,Woody Austin,109,19.42,367,1890
80,81,81,Mathias Grönberg,87,19.41,304,1566
81,82,82,Dean Wilson,109,19.37,380,1962
82,T83,T83,Kent Jones,68,19.36,237,1224
83,T83,T83,Charlie Wi,97,19.36,338,1746
84,T85,T85,Lee Janzen,89,19.35,310,1602
85,T85,T85,Mike Weir,88,19.35,303,1566
86,87,87,Gavin Coles,54,19.34,188,972
87,88,88,Tim Herron,97,19.3,337,1746
88,89,89,David Toms,70,19.28,236,1224
89,90,90,Stuart Appleby,87,19.25,291,1512
90,91,91,John Mallinger,95,19.24,329,1710
91,92,92,Lucas Glover,91,19.23,315,1638
92,T93,T93,Eric Axley,113,19.22,391,2034
93,T93,T93,Jeff Quinney,87,19.22,301,1566
94,95,95,Joe Durant,92,19.2,318,1656
95,96,96,Jeff Maggert,86,19.19,297,1548
96,97,97,Ryuji Imada,80,19.17,276,1440
97,T98,T98,Brad Adamonis,87,19.16,300,1566
98,T98,T98,Davis Love III,78,19.16,269,1404
99,T98,T98,John Merrick,98,19.16,338,1764
100,101,101,James Driscoll,85,19.15,293,1530
101,102,102,Paul Casey,55,19.12,179,936
102,103,103,Marco Dawson,64,19.1,220,1152
103,104,104,Rich Beem,90,19.07,309,1620
104,105,105,Zach Johnson,85,18.98,287,1512
105,T106,T106,Charles Howell III,101,18.91,337,1782
106,T106,T106,Andres Romero,69,18.91,228,1206
107,T108,T108,K.J. Choi,74,18.89,238,1260
108,T108,T108,Rod Pampling,83,18.89,272,1440
109,110,110,Johnson Wagner,83,18.88,282,1494
110,111,111,Jim Furyk,95,18.85,319,1692
111,112,112,Peter Lonard,92,18.84,312,1656
112,T113,T113,Matt Jones,95,18.83,322,1710
113,T113,T113,Brett Rumford,72,18.83,244,1296
114,115,115,Harrison Frazar,73,18.8,247,1314
115,T116,T116,Parker McLachlin,88,18.75,297,1584
116,T116,T116,Tom Scherrer,56,18.75,189,1008
117,118,118,Freddie Jacobson,78,18.73,263,1404
118,119,119,John Riegger,73,18.72,246,1314
119,120,120,Charles Warren,79,18.71,266,1422
120,121,121,Alejandro Cañizares,52,18.7,175,936
121,122,122,Greg Kraft,63,18.69,212,1134
122,T123,T123,Nick Flanagan,89,18.66,299,1602
123,T123,T123,John Senden,93,18.66,309,1656
124,125,125,Patrick Sheehan,124,18.64,416,2232
125,126,126,Ángel Cabrera,55,18.63,171,918
126,127,127,Corey Pavin,69,18.6,231,1242
127,128,128,Briny Baird,113,18.58,378,2034
128,129,129,Y.E. Yang,89,18.54,297,1602
129,T130,T130,Mark Calcavecchia,67,18.52,220,1188
130,T130,T130,Bob Estes,90,18.52,300,1620
131,132,132,Robert Gamez,79,18.5,263,1422
132,133,133,Todd Demsey,80,18.47,266,1440
133,T134,T134,Ernie Els,51,18.44,166,900
134,T134,T134,John Rollins,94,18.44,312,1692
135,T134,T134,Steve Stricker,75,18.44,239,1296
136,137,137,Tim Wilkinson,95,18.42,315,1710
137,138,138,Nick O'Hern,82,18.4,265,1440
138,139,139,Brandt Snedeker,85,18.39,278,1512
139,140,140,Jason Allred,63,18.34,208,1134
140,141,141,Kenneth Ferrie,72,18.29,237,1296
141,142,142,Brett Quigley,80,18.26,263,1440
142,143,143,Chris Stroud,81,18.24,266,1458
143,144,144,Glen Day,64,18.23,210,1152
144,145,145,Jimmy Walker,73,18.19,239,1314
145,146,146,Omar Uresti,74,18.17,242,1332
146,147,147,Chad Collins,72,18.13,235,1296
147,148,148,Cliff Kresge,84,18.12,274,1512
148,149,149,Chris DiMarco,87,18.07,283,1566
149,150,150,Scott Sterling,89,18.04,289,1602
150,151,151,Chez Reavie,102,17.97,330,1836
151,152,152,Jim McGovern,75,17.93,242,1350
152,T153,T153,Craig Kanada,65,17.86,209,1170
153,T153,T153,Chris Riley,51,17.86,164,918
154,155,155,Steve Lowery,74,17.79,237,1332
155,156,156,Billy Mayfair,103,17.75,329,1854
156,T157,T157,Matt Kuchar,88,17.74,281,1584
157,T157,T157,Will MacKenzie,62,17.74,198,1116
158,159,159,Ben Curtis,80,17.64,254,1440
159,T160,T160,Todd Hamilton,92,17.63,292,1656
160,T160,T160,Brandt Jobe,52,17.63,165,936
161,162,162,Alex Cejka,75,17.56,237,1350
162,163,163,Richard Johnson,77,17.53,243,1386
163,164,164,Heath Slocum,104,17.47,327,1872
164,165,165,Retief Goosen,59,17.43,182,1044
165,166,166,Brad Elder,67,17.33,209,1206
166,167,167,Justin Bolli,87,17.31,271,1566
167,168,168,Jerry Kelly,89,17.3,274,1584
168,T169,T169,Jon Mills,95,17.25,295,1710
169,T169,T169,Jay Williamson,96,17.25,298,1728
170,171,171,Rocco Mediate,87,17.18,269,1566
171,172,172,Paul Claxton,63,17.11,194,1134
172,173,173,Paul Goydos,78,17.09,240,1404
173,174,174,Sean O'Hair,81,17.08,249,1458
174,175,175,David Lutterus,59,16.95,180,1062
175,176,176,Bob Sowards,61,16.94,186,1098
176,177,177,Geoff Ogilvy,65,16.93,195,1152
177,178,178,Trevor Immelman,70,16.91,207,1224
178,T179,T179,J.J. Henry,108,16.87,328,1944
179,T179,T179,Ron Whittaker,54,16.87,164,972
180,181,181,Doug LaBelle II,65,16.84,197,1170
181,T182,T182,Ted Purdy,68,16.75,205,1224
182,T182,T182,Kyle Thompson,70,16.75,211,1260
183,184,184,Jin Park,85,16.73,256,1530
184,T185,T185,Bart Bryant,81,16.67,243,1458
185,T185,T185,Cody Freeman,66,16.67,198,1188
186,187,187,Ian Poulter,51,16.55,146,882
187,188,188,Billy Andrade,71,16.43,210,1278
188,189,189,Tom Lehman,51,16.34,150,918
189,190,190,Jeff Gove,50,16.33,147,900
190,191,191,J.P. Hayes,67,16.25,196,1206
191,192,192,Richard Johnson,60,16.11,174,1080
192,193,193,Travis Perkins,53,16.04,153,954
193,194,194,David Duval,51,15.9,146,918
194,195,195,Shigeki Maruyama,50,15.89,143,900
195,196,196,Olin Browne,77,15.08,209,1386
196,197,197,Stephen Leaney,53,14.99,143,954
