,Par_5_Eagle_Leaders_RANK THIS WEEK,Par_5_Eagle_Leaders_RANK LAST WEEK,Par_5_Eagle_Leaders_PLAYER NAME,Par_5_Eagle_Leaders_ROUNDS,Par_5_Eagle_Leaders_TOTAL,Par_5_Eagle_Leaders_TOTAL PAR 5 HOLES,Par_5_Eagle_Leaders_TOTAL HOLE OUTS
0,1,1,Webb Simpson,95,15,252,5.0
1,T2,T2,Tony Finau,105,14,298,3.0
2,T2,T2,Brandon Harkins,101,14,296,1.0
3,T2,T2,Gary Woodland,96,14,266,2.0
4,5,5,Jason Kokrak,99,13,306,2.0
5,T6,T6,Keegan Bradley,98,12,287,1.0
6,T6,T6,Stewart Cink,87,12,262,
7,T6,T6,Phil Mickelson,90,12,264,
8,T6,T6,Bubba Watson,90,12,234,1.0
9,T10,T10,Bryson DeChambeau,93,11,280,
10,T10,T10,Matt Every,79,11,245,2.0
11,T10,T10,Hideki Matsuyama,75,11,220,2.0
12,T10,T10,Patrick Reed,94,11,270,2.0
13,T10,T10,Justin Thomas,91,11,236,1.0
14,T15,T15,Dustin Johnson,77,10,224,1.0
15,T15,T15,Rory Sabbatini,91,10,281,2.0
16,T15,T15,Conrad Shindler,60,10,172,1.0
17,T15,T15,Kevin Tway,110,10,334,3.0
18,T15,T15,Richy Werenski,98,10,288,2.0
19,T20,T20,Chesson Hadley,103,9,311,2.0
20,T20,T20,James Hahn,85,9,264,1.0
21,T20,T20,J.B. Holmes,77,9,242,2.0
22,T20,T20,Beau Hossler,104,9,328,1.0
23,T20,T20,John Huh,94,9,278,3.0
24,T20,T20,Whee Kim,93,9,292,1.0
25,T20,T20,Chris Kirk,108,9,340,3.0
26,T20,T20,Tom Lovelady,87,9,256,1.0
27,T20,T20,Kevin Na,91,9,256,1.0
28,T20,T20,Peter Uihlein,83,9,240,2.0
29,T30,T30,Aaron Baddeley,84,8,244,4.0
30,T30,T30,Rafa Cabrera Bello,75,8,208,1.0
31,T30,T30,Tyler Duncan,97,8,279,1.0
32,T30,T30,Harris English,84,8,244,1.0
33,T30,T30,Tommy Fleetwood,73,8,190,
34,T30,T30,Lanto Griffin,80,8,228,2.0
35,T30,T30,Billy Horschel,86,8,253,1.0
36,T30,T30,Kevin Kisner,89,8,224,1.0
37,T30,T30,Brooks Koepka,64,8,164,1.0
38,T30,T30,Rory McIlroy,64,8,172,1.0
39,T30,T30,Cameron Percy,56,8,156,1.0
40,T30,T30,D.A. Points,63,8,198,1.0
41,T30,T30,Brandt Snedeker,84,8,240,1.0
42,T30,T30,Hudson Swafford,73,8,220,
43,T30,T30,Ethan Tracy,72,8,220,5.0
44,T30,T30,Harold Varner III,91,8,278,3.0
45,T46,T46,Byeong Hun An,86,7,248,2.0
46,T46,T46,Daniel Berger,81,7,222,2.0
47,T46,T46,Ryan Blaum,81,7,232,4.0
48,T46,T46,Bronson Burgoon,69,7,210,
49,T46,T46,Chad Campbell,87,7,250,1.0
50,T46,T46,Rickie Fowler,74,7,212,
51,T46,T46,Fabián Gómez,88,7,261,1.0
52,T46,T46,Bill Haas,76,7,231,1.0
53,T46,T46,Tom Hoge,101,7,291,2.0
54,T46,T46,Zach Johnson,94,7,260,
55,T46,T46,Matt Jones,70,7,190,1.0
56,T46,T46,Sung Kang,89,7,272,
57,T46,T46,Marc Leishman,93,7,268,1.0
58,T46,T46,Keith Mitchell,99,7,298,1.0
59,T46,T46,Ryan Moore,78,7,238,1.0
60,T46,T46,Ryan Palmer,69,7,191,2.0
61,T46,T46,Sam Ryder,82,7,254,1.0
62,T46,T46,Cameron Smith,85,7,236,1.0
63,T46,T46,Jhonattan Vegas,92,7,284,2.0
64,T46,T46,Xinjun Zhang,81,7,234,1.0
65,T66,T66,Ryan Armour,109,6,324,1.0
66,T66,T66,Patrick Cantlay,87,6,236,1.0
67,T66,T66,Paul Casey,74,6,212,
68,T66,T66,Kevin Chappell,77,6,226,1.0
69,T66,T66,Derek Fathauer,84,6,246,2.0
70,T66,T66,Talor Gooch,78,6,227,2.0
71,T66,T66,Branden Grace,67,6,210,1.0
72,T66,T66,Charley Hoffman,87,6,246,1.0
73,T66,T66,Charles Howell III,104,6,308,1.0
74,T66,T66,Michael Kim,74,6,214,4.0
75,T66,T66,Russell Knox,94,6,274,2.0
76,T66,T66,Kelly Kraft,94,6,286,2.0
77,T66,T66,Martin Laird,73,6,210,2.0
78,T66,T66,Troy Merritt,89,6,272,1.0
79,T66,T66,Grayson Murray,72,6,256,2.0
80,T66,T66,Rob Oppenheim,74,6,220,2.0
81,T66,T66,C.T. Pan,104,6,291,3.0
82,T66,T66,Jon Rahm,71,6,202,1.0
83,T66,T66,Xander Schauffele,96,6,274,1.0
84,T66,T66,Brendan Steele,74,6,208,
85,T66,T66,Tiger Woods,68,6,198,2.0
86,T87,T87,Abraham Ancer,98,5,298,
87,T87,T87,Jonas Blixt,67,5,196,
88,T87,T87,Dominic Bozzelli,65,5,192,2.0
89,T87,T87,Jonathan Byrd,70,5,196,
