,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Bubba Watson,71,76.28,164,51,-110,+3
1,2,2,Jason Day,75,69.47,157,69,-117,+16
2,3,3,Patrick Rodgers,57,69.44,100,44,-59,+4
3,4,4,Ángel Cabrera,53,69.38,111,49,-58,+1
4,5,5,Tony Finau,106,68.47,241,111,-142,+1
5,6,6,Jason Kokrak,88,66.9,192,95,-108,-1
6,7,7,Sergio Garcia,59,66.67,92,46,-47,-8
7,8,8,Carlos Ortiz,100,66.13,205,105,-121,-13
8,9,9,Brooks Koepka,84,65.35,149,79,-108,+13
9,10,10,Charl Schwartzel,67,65.13,99,53,-47,+3
10,11,11,Jhonattan Vegas,90,64.86,168,91,-100,+15
11,12,12,Keegan Bradley,87,63.27,155,90,-99,-18
12,13,13,Dustin Johnson,75,63.16,132,77,-86,-7
13,14,14,Justin Thomas,106,63.01,230,135,-169,-7
14,15,15,Brendan Steele,88,62.97,199,117,-109,-6
15,16,16,J.B. Holmes,89,62.6,164,98,-101,E
16,17,17,Sam Saunders,83,62.39,141,85,-81,-13
17,18,18,Charlie Beljan,76,62.19,125,76,-68,-2
18,19,19,Morgan Hoffmann,85,61.92,161,99,-96,-3
19,20,20,Charles Howell III,105,61.62,228,142,-132,-7
20,21,21,Adam Scott,51,61.26,68,43,-44,-5
21,22,22,Derek Ernst,75,60.93,131,84,-77,+8
22,23,23,Matt Jones,89,60.92,173,111,-105,-15
23,24,24,Ernie Els,57,60.42,87,57,-45,E
24,25,25,Daniel Berger,97,60.39,186,122,-103,-14
25,26,26,Steven Bowditch,103,60.24,197,130,-106,+2
26,27,27,Marc Leishman,74,60.22,109,72,-64,E
27,28,28,Martin Flores,95,60.15,163,108,-82,-10
28,29,29,Harris English,105,60.06,191,127,-104,-15
29,30,30,Gonzalo Fernandez-Castaño,81,59.91,130,87,-53,+1
30,31,31,Andres Romero,69,59.7,120,81,-56,-2
31,32,32,Henrik Stenson,63,59.66,105,71,-57,-13
32,33,33,Gary Woodland,81,59.53,128,87,-68,E
33,34,34,Billy Horschel,99,59.52,172,117,-86,-15
34,35,35,Charley Hoffman,97,59.41,180,123,-89,-19
35,36,36,Robert Garrigus,70,59.28,115,79,-60,+2
36,37,37,Willy Wilcox,58,58.91,76,53,-43,-7
37,38,38,Justin Rose,69,58.7,108,76,-64,-13
38,39,39,Max Homa,78,58.48,131,93,-55,-1
39,40,40,Louis Oosthuizen,68,57.63,102,75,-61,-12
40,41,41,Phil Mickelson,70,57.4,128,95,-70,-15
41,42,42,Geoff Ogilvy,50,57.24,87,65,-44,+4
42,43,43,Kevin Streelman,95,57.04,166,125,-82,-15
43,44,44,Martin Laird,77,56.62,154,118,-86,-2
44,45,45,Hudson Swafford,97,56.51,165,127,-102,-4
45,46,46,Jimmy Walker,89,56.33,138,107,-82,-16
46,47,47,Hideki Matsuyama,95,56.18,159,124,-101,-16
