,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
54,T54,T54,Brett Wetterich,88,20.18,316,1566,43
55,56,56,Darron Stiles,65,20.17,236,1170,71
56,T57,T57,Bart Bryant,87,20.16,312,1548,39
57,T57,T57,J.P. Hayes,89,20.16,323,1602,154
58,59,59,Stewart Cink,91,20.14,319,1584,48
59,T60,T60,John Merrick,92,20.11,333,1656,9
60,T60,T60,Pat Perez,84,20.11,304,1512,68
61,62,62,Kent Jones,97,20.1,351,1746,27
62,63,63,K.J. Choi,87,20.07,307,1530,74
63,T64,T64,Ryan Moore,92,20.05,332,1656,60
64,T64,T64,Camilo Villegas,82,20.05,296,1476,59
65,66,66,Tim Petrovic,106,20.02,382,1908,155
66,67,67,Jeff Quinney,95,20.0,342,1710,61
67,68,68,Paul Stankowski,52,19.98,187,936,143
68,69,69,Heath Slocum,101,19.97,363,1818,36
69,70,70,Chris Riley,59,19.96,212,1062,165
70,T71,T71,Harrison Frazar,88,19.95,316,1584,133
71,T71,T71,Bill Haas,93,19.95,334,1674,53
72,73,73,Jarrod Lyle,77,19.91,276,1386,100
73,74,74,Padraig Harrington,64,19.89,222,1116,189
74,T75,T75,Frank Lickliter II,95,19.88,340,1710,77
75,T75,T75,Charlie Wi,90,19.88,322,1620,38
76,T77,T77,Michael Allen,74,19.82,264,1332,32
77,T77,T77,Woody Austin,95,19.82,339,1710,67
78,T79,T79,Tim Clark,66,19.7,227,1152,176
79,T79,T79,John Senden,97,19.7,344,1746,2
80,81,81,Nathan Green,103,19.69,365,1854,169
81,82,82,George McNeill,95,19.59,335,1710,139
82,83,83,Boo Weekley,101,19.53,355,1818,54
83,84,84,Billy Andrade,88,19.51,309,1584,81
84,85,85,Ryan Armour,107,19.47,375,1926,41
85,86,86,Brian Gay,107,19.42,374,1926,153
86,T87,T87,Jeff Maggert,79,19.41,276,1422,33
87,T87,T87,Kenny Perry,83,19.41,290,1494,20
88,T87,T87,David Toms,80,19.41,269,1386,128
89,90,90,Scott Gutschewski,67,19.32,233,1206,160
90,91,91,Johnson Wagner,97,19.3,337,1746,19
91,92,92,Troy Matteson,87,19.28,302,1566,137
92,93,93,Andrew Buckle,77,19.26,267,1386,162
93,94,94,Duffy Waldorf,69,19.24,239,1242,26
94,95,95,Marco Dawson,73,19.18,252,1314,134
95,96,96,Rich Barcelo,80,19.17,276,1440,147
96,T97,T97,Craig Bowden,78,19.16,269,1404,88
97,T97,T97,Cliff Kresge,107,19.16,369,1926,96
98,99,99,Kevin Sutherland,85,19.15,293,1530,68
99,100,100,Tom Johnson,74,19.14,255,1332,107
100,101,101,Chris Stroud,66,19.11,227,1188,49
101,102,102,John Rollins,102,19.09,347,1818,131
102,103,103,Billy Mayfair,98,19.05,336,1764,18
103,104,104,Parker McLachlin,83,19.01,284,1494,186
104,T105,T105,Jason Dufner,100,19.0,342,1800,80
105,T105,T105,Ken Duke,112,19.0,383,2016,62
106,T105,T105,Mike Weir,82,19.0,277,1458,151
107,108,108,Brandt Snedeker,105,18.99,359,1890,103
108,109,109,Craig Kanada,109,18.96,372,1962,108
109,110,110,Bob Tway,103,18.93,351,1854,138
110,111,111,Michael Putnam,96,18.92,327,1728,24
111,T112,T112,Luke Donald,69,18.91,228,1206,145
112,T112,T112,Tom Pernice Jr.,104,18.91,354,1872,170
113,114,114,Ted Purdy,102,18.9,347,1836,21
114,115,115,Tommy Armour III,81,18.86,275,1458,5
115,116,116,Mathew Goggin,97,18.84,329,1746,11
116,117,117,Michael Sim,52,18.8,176,936,106
117,T118,T118,Chris Couch,76,18.79,257,1368,121
118,T118,T118,Scott Verplank,82,18.79,274,1458,114
119,120,120,Shigeki Maruyama,84,18.78,284,1512,182
120,121,121,Craig Lile,77,18.76,260,1386,150
121,T122,T122,Jeff Gove,103,18.72,347,1854,3
122,T122,T122,Greg Owen,81,18.72,273,1458,17
123,T122,T122,Steve Wheatcroft,73,18.72,246,1314,118
124,125,125,Jason Bohn,57,18.71,192,1026,82
125,T126,T126,Robert Gamez,88,18.69,296,1584,57
126,T126,T126,Peter Lonard,85,18.69,286,1530,100
127,T126,T126,John Mallinger,96,18.69,323,1728,152
128,129,129,Mark Hensby,81,18.66,272,1458,140
129,T130,T130,Tim Herron,98,18.65,329,1764,102
130,T130,T130,Jerry Kelly,101,18.65,339,1818,93
131,132,132,Steve Flesch,100,18.61,335,1800,55
132,T133,T133,J.J. Henry,86,18.56,284,1530,30
133,T133,T133,Matt Kuchar,85,18.56,284,1530,84
134,T133,T133,Ryan Palmer,91,18.56,304,1638,127
135,T136,T136,Steve Elkington,87,18.52,290,1566,149
136,T136,T136,Rod Pampling,92,18.52,300,1620,78
137,T138,T138,Glen Day,85,18.43,282,1530,114
138,T138,T138,Ian Poulter,63,18.43,199,1080,173
139,140,140,Joey Sindelar,75,18.37,248,1350,30
140,T141,T141,D.J. Brigman,67,18.33,221,1206,51
141,T141,T141,Kirk Triplett,77,18.33,254,1386,62
142,143,143,Dicky Pride,71,18.31,234,1278,135
143,144,144,Dean Wilson,92,18.3,303,1656,142
144,145,145,D.J. Trahan,99,18.29,326,1782,27
145,146,146,Tom Lehman,62,18.28,204,1116,16
146,147,147,Justin Leonard,95,18.25,312,1710,94
147,T148,T148,Charles Howell III,89,18.22,282,1548,140
148,T148,T148,Zach Johnson,76,18.22,246,1350,111
149,150,150,Lee Janzen,66,18.1,215,1188,117
150,T151,T151,Chad Campbell,96,18.09,293,1620,129
151,T151,T151,Daisuke Maruyama,86,18.09,280,1548,88
152,153,153,Mark Wilson,87,18.07,283,1566,91
153,154,154,Paul Gow,70,18.02,227,1260,130
154,155,155,Gavin Coles,87,17.94,281,1566,161
155,156,156,Shaun Micheel,91,17.93,284,1584,52
156,T157,T157,Arron Oberholser,69,17.89,219,1224,163
157,T157,T157,Kevin Stadler,95,17.89,306,1710,64
158,159,159,Stuart Appleby,74,17.88,235,1314,175
159,T160,T160,Stephen Ames,81,17.82,247,1386,86
160,T160,T160,Stephen Leaney,82,17.82,263,1476,13
161,T162,T162,Brett Quigley,79,17.81,250,1404,166
162,T162,T162,Jason Schultz,63,17.81,202,1134,164
163,164,164,Bubba Dickerson,51,17.76,163,918,193
164,165,165,Davis Love III,66,17.69,207,1170,124
165,166,166,Brian Bateman,55,17.68,175,990,177
166,167,167,Eric Axley,107,17.65,340,1926,178
167,T168,T168,Jeff Brehaut,59,17.61,187,1062,79
168,T168,T168,Chris Tidland,59,17.61,187,1062,131
169,170,170,José Coceres,50,17.56,158,900,168
170,171,171,Joe Durant,88,17.5,274,1566,12
171,172,172,Michael Boyd,61,17.49,192,1098,148
172,173,173,Matt Hendrix,63,17.46,198,1134,86
173,174,174,Bryce Molder,56,17.36,175,1008,191
174,175,175,Paul Goydos,60,17.33,184,1062,192
175,176,176,Tripp Isenhour,86,17.31,268,1548,184
176,177,177,Fred Funk,65,17.18,201,1170,171
177,178,178,Kyle Reifers,71,17.14,219,1278,110
178,179,179,Henrik Stenson,52,17.03,141,828,180
179,180,180,Doug LaBelle II,104,16.88,316,1872,114
180,181,181,Corey Pavin,81,16.87,246,1458,183
181,T182,T182,Trevor Immelman,74,16.75,205,1224,66
182,T182,T182,Nick O'Hern,72,16.75,205,1224,190
183,184,184,Chris DiMarco,79,16.67,231,1386,187
184,185,185,David Branshaw,83,16.6,248,1494,97
185,186,186,Jaco Van Zyl,51,16.45,151,918,125
186,187,187,Retief Goosen,50,16.44,142,864,194
187,188,188,Anders Hansen,55,16.26,161,990,156
188,189,189,Ben Curtis,80,16.25,234,1440,185
189,190,190,Richard Johnson,93,16.19,271,1674,99
190,191,191,Jeff Sluman,60,16.11,174,1080,181
191,192,192,José María Olazábal,52,15.89,143,900,196
192,193,193,Tom Byrum,50,15.56,140,900,76
193,194,194,Jim Rutledge,59,15.25,162,1062,119
194,195,195,Mark Brooks,53,15.2,145,954,92
195,196,196,Todd Hamilton,76,14.99,205,1368,195
