,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Justin Rose,18,2260,2.0,11.0,,1800.0
1,2,2,Tiger Woods,18,2219,1.0,7.0,41.0,219.0
2,3,3,Bryson DeChambeau,26,2188,3.0,9.0,72.0,2000.0
3,4,4,Dustin Johnson,20,2056,3.0,12.0,204.0,1296.0
4,5,5,Billy Horschel,27,1840,1.0,6.0,420.0,640.0
5,6,6,Tony Finau,28,1732,,11.0,528.0,1520.0
6,7,7,Justin Thomas,23,1610,3.0,10.0,650.0,1280.0
7,8,8,Keegan Bradley,27,1253,1.0,5.0,1007.0,1120.0
8,9,9,Brooks Koepka,17,1093,2.0,6.0,1167.0,960.0
9,10,10,Bubba Watson,24,918,3.0,6.0,1342.0,800.0
10,11,11,Webb Simpson,26,844,1.0,9.0,1416.0,384.0
11,12,12,Cameron Smith,24,660,,7.0,1600.0,480.0
12,13,13,Hideki Matsuyama,21,602,,4.0,1658.0,142.0
13,13,13,Rory McIlroy,18,602,1.0,7.0,1658.0,272.0
14,15,15,Xander Schauffele,27,581,,7.0,1679.0,251.0
15,16,16,Jason Day,20,564,2.0,5.0,1696.0,368.0
16,17,17,Rickie Fowler,20,512,,6.0,1748.0,182.0
17,17,17,Francesco Molinari,20,512,2.0,5.0,1748.0,352.0
18,19,19,Tommy Fleetwood,19,483,,6.0,1777.0,231.0
19,20,20,Patrick Cantlay,23,453,1.0,7.0,1807.0,293.0
20,21,21,Phil Mickelson,24,448,1.0,6.0,1812.0,336.0
21,22,22,Patrick Reed,26,438,1.0,7.0,1822.0,314.0
22,23,23,Jon Rahm,20,422,1.0,5.0,1838.0,170.0
23,24,24,Aaron Wise,29,418,1.0,4.0,1842.0,206.0
24,25,25,Paul Casey,20,403,1.0,5.0,1857.0,151.0
25,26,26,Gary Woodland,27,385,1.0,3.0,1875.0,133.0
26,27,27,Kyle Stanley,26,373,,5.0,1887.0,161.0
27,28,28,Kevin Na,26,336,1.0,4.0,1924.0,194.0
28,29,29,Marc Leishman,25,284,,6.0,1976.0,124.0
29,30,30,Patton Kizzire,29,275,2.0,4.0,1985.0,115.0
30,31,31,Jordan Spieth,23,1323,,5.0,4654.0,
31,32,32,Emiliano Grillo,25,1270,,6.0,4707.0,
32,33,33,Andrew Putnam,28,1267,1.0,5.0,4710.0,
33,34,34,Chez Reavie,28,1252,,3.0,4725.0,
34,35,35,C.T. Pan,30,1238,,2.0,4739.0,
35,36,36,Adam Hadwin,25,1226,,3.0,4751.0,
36,37,37,Andrew Landry,27,1225,1.0,5.0,4752.0,
37,38,38,Austin Cook,29,1203,1.0,3.0,4774.0,
38,39,39,Pat Perez,23,1190,1.0,4.0,4787.0,
39,40,40,Brandt Snedeker,25,1188,1.0,4.0,4789.0,
40,41,41,Rafa Cabrera Bello,20,1175,,5.0,4802.0,
41,42,42,Byeong Hun An,24,1170,,4.0,4807.0,
42,43,43,Alex Noren,18,1169,,3.0,4808.0,
43,44,44,Chesson Hadley,30,1163,,7.0,4814.0,
44,45,45,Luke List,29,1150,,5.0,4827.0,
45,46,46,Beau Hossler,28,1134,,5.0,4843.0,
46,47,47,Kevin Kisner,25,1132,,4.0,4845.0,
47,48,48,Brian Harman,25,1129,,8.0,4848.0,
