,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Jordan Spieth,82,30.35,61,201
1,2,2,Justin Rose,62,27.7,41,148
2,3,3,Steve Stricker,51,26.8,26,97
3,4,4,David Hearn,88,26.18,50,191
4,5,5,Freddie Jacobson,63,25.9,36,139
5,6,6,Phil Mickelson,78,25.55,35,137
6,7,7,Tiger Woods,61,25.17,36,143
7,8,8,Sergio Garcia,65,24.8,31,125
8,9,9,Luke Donald,60,24.79,30,121
9,10,10,Bryce Molder,82,24.63,50,203
10,11,11,John Merrick,79,24.52,51,208
11,12,12,Kevin Chappell,80,24.51,50,204
12,13,13,Rory Sabbatini,86,24.46,57,233
13,14,14,Mike Weir,60,24.37,29,119
14,15,15,D.A. Points,87,24.21,46,190
15,16,16,Chris Stroud,88,24.15,57,236
16,17,17,Chris Kirk,89,23.97,64,267
17,18,18,Matt Every,89,23.77,53,223
18,19,19,Justin Leonard,86,23.75,57,240
19,20,20,Matt Kuchar,93,23.74,52,219
20,21,21,James Driscoll,76,23.33,49,210
21,22,22,Boo Weekley,100,23.17,57,246
22,23,23,Erik Compton,74,23.16,44,190
23,24,24,Justin Hicks,79,23.15,47,203
24,25,25,Rickie Fowler,75,23.03,38,165
25,26,26,Aaron Watkins,46,23.0,23,100
26,27,27,Charlie Wi,75,22.97,48,209
27,T28,T28,Brian Gay,79,22.91,52,227
28,T28,T28,David Lingmerth,68,22.91,41,179
29,30,30,Bill Haas,85,22.84,45,197
30,31,31,Ryan Palmer,79,22.59,54,239
31,32,32,Dicky Pride,71,22.58,35,155
32,33,33,Jason Bohn,70,22.33,46,206
33,34,34,D.J. Trahan,48,22.03,26,118
34,T35,T35,Ken Duke,87,21.9,46,210
35,T35,T35,David Toms,49,21.9,23,105
36,37,37,Robert Garrigus,69,21.8,29,133
37,38,38,Scott Gardiner,61,21.74,35,161
38,39,39,Sangmoon Bae,83,21.7,51,235
39,40,40,Jerry Kelly,75,21.69,36,166
40,41,41,Jeff Maggert,63,21.66,34,157
41,42,42,John Huh,88,21.57,44,204
42,43,43,Ben Crane,62,21.52,34,158
43,44,44,Carl Pettersson,82,21.46,47,219
44,45,45,Martin Flores,83,21.43,51,238
45,46,46,Josh Teater,86,21.28,40,188
46,47,47,Darron Stiles,51,21.26,27,127
47,48,48,Brendon de Jonge,110,21.14,63,298
48,T49,T49,Russell Henley,80,21.05,44,209
49,T49,T49,Morgan Hoffmann,64,21.05,36,171
50,T49,T49,Brandt Snedeker,79,21.05,40,190
51,52,52,Patrick Reed,83,21.03,53,252
52,53,53,Brian Davis,91,20.98,47,224
53,54,54,Nick Watney,88,20.91,46,220
54,55,55,Justin Bolli,59,20.9,28,134
55,56,56,Rory McIlroy,56,20.87,24,115
56,57,57,Bubba Watson,76,20.83,35,168
57,58,58,Brad Fritsch,81,20.8,47,226
58,59,59,Graeme McDowell,53,20.75,22,106
59,60,60,Marc Leishman,77,20.71,41,198
60,61,61,Dustin Johnson,71,20.65,38,184
61,62,62,Geoff Ogilvy,57,20.63,26,126
62,63,63,Andres Romero,63,20.59,35,170
63,64,64,Billy Horschel,96,20.31,52,256
64,65,65,Charles Howell III,87,20.26,46,227
65,66,66,Michael Thompson,66,20.25,32,158
66,T67,T67,K.J. Choi,85,20.11,38,189
67,T67,T67,George McNeill,68,20.11,37,184
68,69,69,Jim Furyk,80,20.0,40,200
69,70,70,J.J. Henry,83,19.92,48,241
70,71,71,Webb Simpson,92,19.91,44,221
71,72,72,Jimmy Walker,84,19.9,40,201
72,73,73,Camilo Villegas,79,19.82,44,222
73,74,74,Graham DeLaet,94,19.77,52,263
74,T75,T75,"Ted Potter, Jr.",65,19.75,32,162
75,T75,T75,Brendan Steele,86,19.75,47,238
76,77,77,David Mathis,71,19.68,37,188
77,78,78,James Hahn,78,19.35,42,217
78,T79,T79,Peter Hanson,45,19.23,20,104
79,T79,T79,Daniel Summerhays,83,19.23,45,234
80,81,81,Nicholas Thompson,99,19.22,54,281
81,82,82,Zach Johnson,84,19.17,37,193
82,83,83,Luke Guthrie,82,19.1,34,178
83,84,84,Keegan Bradley,88,19.07,45,236
84,85,85,Greg Chalmers,77,19.05,40,210
85,86,86,Scott Stallings,79,19.0,38,200
86,87,87,Mark Wilson,56,18.98,26,137
87,88,88,Bud Cauley,67,18.93,32,169
88,89,89,Ryan Moore,72,18.82,32,170
89,90,90,Eric Meierdierks,48,18.75,21,112
90,91,91,Kevin Stadler,83,18.72,35,187
91,92,92,Cameron Tringale,80,18.7,43,230
92,93,93,Hunter Mahan,91,18.69,40,214
93,94,94,Vaughn Taylor,50,18.6,24,129
94,95,95,Will Claxton,67,18.58,34,183
95,96,96,Jim Herman,59,18.52,30,162
96,97,97,Doug LaBelle II,72,18.5,32,173
97,98,98,Jeff Overton,78,18.45,38,206
98,99,99,Roberto Castro,97,18.3,43,235
99,T100,T100,Tom Gillis,69,18.18,34,187
100,T100,T100,Gary Woodland,94,18.18,48,264
101,102,102,Stewart Cink,71,17.9,29,162
102,103,103,Padraig Harrington,52,17.89,17,95
103,T104,T104,Chad Campbell,78,17.86,40,224
104,T104,T104,Charl Schwartzel,69,17.86,30,168
105,106,106,Y.E. Yang,56,17.61,25,142
106,107,107,Bo Van Pelt,72,17.58,29,165
107,108,108,Ernie Els,63,17.5,28,160
108,109,109,Robert Karlsson,56,17.43,19,109
109,110,110,Harris English,95,17.39,44,253
110,111,111,D.H. Lee,65,17.31,27,156
111,112,112,Bob Estes,66,17.26,34,197
112,113,113,John Rollins,77,17.17,34,198
113,T114,T114,Ryo Ishikawa,72,17.14,30,175
114,T114,T114,Richard Lee,81,17.14,36,210
115,116,116,Ricky Barnes,74,17.13,37,216
116,117,117,Tommy Gainey,84,17.12,44,257
117,118,118,Lee Westwood,70,17.02,24,141
118,119,119,Brian Harman,89,17.0,42,247
119,120,120,Steve LeBrun,66,16.88,26,154
120,121,121,Matt Jones,83,16.83,35,208
121,122,122,Robert Allenby,58,16.78,24,143
122,123,123,Jason Dufner,78,16.75,32,191
123,T124,T124,Aaron Baddeley,68,16.67,29,174
124,T124,T124,Jason Day,86,16.67,31,186
125,T124,T124,William McGirt,75,16.67,36,216
126,T124,T124,Ian Poulter,59,16.67,21,126
127,128,128,Ben Curtis,59,16.52,19,115
128,129,129,Charley Hoffman,84,16.39,39,238
129,130,130,Martin Laird,68,16.35,26,159
130,131,131,Pat Perez,69,16.28,28,172
131,132,132,Brian Stuard,78,16.19,34,210
132,133,133,Adam Scott,61,16.15,21,130
133,134,134,Greg Owen,73,16.13,35,217
134,135,135,Henrik Norlander,70,15.96,30,188
135,136,136,Stephen Ames,49,15.91,21,132
136,137,137,Henrik Stenson,65,15.79,18,114
137,138,138,Stuart Appleby,88,15.75,40,254
138,139,139,Brandt Jobe,62,15.72,25,159
139,140,140,Tag Ridings,69,15.69,32,204
140,141,141,Tim Herron,45,15.6,22,141
141,142,142,Scott Piercy,78,15.42,31,201
142,143,143,Jin Park,52,15.38,18,117
143,144,144,Ángel Cabrera,73,15.34,27,176
144,145,145,Rod Pampling,46,15.24,16,105
145,146,146,Cameron Percy,68,15.2,31,204
146,147,147,Tim Clark,64,15.15,20,132
147,148,148,Colt Knost,69,14.97,25,167
148,149,149,Robert Streb,75,14.95,32,214
149,150,150,Nicolas Colsaerts,50,14.91,17,114
150,T151,T151,Lucas Glover,65,14.86,22,148
151,T151,T151,David Lynn,70,14.86,22,148
152,153,153,Martin Kaymer,61,14.84,19,128
153,154,154,Kevin Streelman,86,14.8,29,196
154,155,155,Troy Matteson,68,14.72,29,197
155,156,156,Jason Kokrak,78,14.71,35,238
156,157,157,Andrew Svoboda,46,14.52,18,124
157,158,158,Jonas Blixt,76,14.36,29,202
158,159,159,Casey Wittenberg,72,14.2,24,169
159,160,160,Lee Williams,62,14.19,22,155
160,161,161,Shawn Stefani,63,14.09,21,149
161,162,162,Scott Langley,79,14.08,29,206
162,163,163,Luke List,65,14.04,24,171
163,164,164,Fabián Gómez,65,13.99,27,193
164,165,165,Trevor Immelman,73,13.97,25,179
165,166,166,Vijay Singh,61,13.61,20,147
166,167,167,Ben Kohles,75,13.3,25,188
167,168,168,Johnson Wagner,64,13.29,21,158
168,169,169,Chez Reavie,72,13.0,29,223
169,170,170,Steven Bowditch,67,12.9,24,186
170,171,171,Bobby Gates,49,12.7,16,126
171,T172,T172,Derek Ernst,58,12.5,18,144
172,T172,T172,Seung-Yul Noh,71,12.5,27,216
173,174,174,Charlie Beljan,62,12.44,24,193
174,175,175,Sean O'Hair,56,11.95,19,159
175,176,176,Alistair Presnell,59,11.81,17,144
176,177,177,Kyle Stanley,71,11.79,23,195
177,178,178,Michael Bradley,56,11.54,15,130
178,179,179,John Senden,79,11.29,21,186
179,180,180,Scott Brown,65,11.11,20,180
