,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Billy Horschel,27,4750,2.0,5.0,,2250.0
1,2,2,Chris Kirk,28,3100,2.0,5.0,1650.0,2500.0
2,3,3,Rory McIlroy,17,3050,3.0,12.0,1700.0,1800.0
3,4,4,Jim Furyk,21,2450,,11.0,2300.0,1200.0
4,5,5,Bubba Watson,21,2285,2.0,8.0,2465.0,2000.0
5,6,6,Hunter Mahan,25,1835,1.0,6.0,2915.0,1600.0
6,7,7,Jimmy Walker,27,1668,3.0,10.0,3082.0,1400.0
7,8,8,Matt Kuchar,24,1300,1.0,11.0,3450.0,1000.0
8,9,9,Rickie Fowler,26,1225,,10.0,3525.0,800.0
9,10,10,Jason Day,15,1200,1.0,6.0,3550.0,600.0
10,11,11,Justin Rose,19,850,1.0,8.0,3900.0,250.0
11,12,12,Adam Scott,17,835,1.0,10.0,3915.0,460.0
12,13,13,Sergio Garcia,16,815,,10.0,3935.0,440.0
13,14,14,Ryan Palmer,23,730,,8.0,4020.0,280.0
14,15,15,Jordan Spieth,27,698,,8.0,4052.0,480.0
15,16,16,Bill Haas,28,655,,5.0,4095.0,380.0
16,16,16,Martin Kaymer,19,655,2.0,4.0,4095.0,420.0
17,18,18,Zach Johnson,26,650,1.0,5.0,4100.0,400.0
18,19,19,Russell Henley,29,635,1.0,3.0,4115.0,310.0
19,20,20,Cameron Tringale,31,600,,3.0,4150.0,320.0
20,21,21,Patrick Reed,28,598,2.0,4.0,4152.0,340.0
21,22,22,Gary Woodland,25,595,,5.0,4155.0,220.0
22,23,23,John Senden,27,585,1.0,5.0,4165.0,360.0
23,24,24,Kevin Na,27,528,,6.0,4222.0,270.0
24,25,25,Webb Simpson,25,525,1.0,9.0,4225.0,290.0
25,26,26,Morgan Hoffmann,32,518,,2.0,4232.0,300.0
26,27,27,Brendon Todd,29,508,1.0,7.0,4242.0,240.0
27,28,28,Hideki Matsuyama,24,475,1.0,4.0,4275.0,230.0
28,29,29,Geoff Ogilvy,26,470,1.0,2.0,4280.0,260.0
29,30,30,Dustin Johnson,17,210,1.0,7.0,4540.0,210.0
30,31,31,Stuart Appleby,29,1755,,3.0,5050.0,
31,32,32,Harris English,28,1662,1.0,7.0,5143.0,
32,33,33,Keegan Bradley,26,1621,,6.0,5184.0,
33,34,34,Charles Howell III,29,1592,,6.0,5213.0,
34,35,35,Seung-Yul Noh,27,1590,1.0,3.0,5215.0,
35,36,36,Brian Harman,32,1571,1.0,6.0,5234.0,
36,37,37,Graham DeLaet,24,1553,,7.0,5252.0,
37,38,38,Kevin Stadler,26,1537,1.0,3.0,5268.0,
38,39,39,Ryan Moore,24,1534,1.0,7.0,5271.0,
39,40,40,Russell Knox,26,1480,,3.0,5325.0,
40,41,41,Ernie Els,24,1467,,3.0,5338.0,
41,42,42,J.B. Holmes,24,1467,1.0,2.0,5338.0,
42,43,43,Charl Schwartzel,18,1405,,5.0,5400.0,
43,44,44,Kevin Streelman,24,1354,1.0,2.0,5451.0,
44,45,45,Matt Every,26,1354,1.0,6.0,5451.0,
45,46,46,George McNeill,24,1352,,4.0,5453.0,
46,47,47,Chris Stroud,25,1344,,4.0,5461.0,
47,48,48,Camilo Villegas,29,1342,1.0,1.0,5463.0,
48,49,49,Chesson Hadley,29,1338,1.0,4.0,5467.0,
49,50,50,Ángel Cabrera,23,1332,1.0,1.0,5473.0,
50,51,51,Brian Stuard,29,1315,,4.0,5490.0,
51,52,52,Henrik Stenson,15,1315,,3.0,5490.0,
52,53,53,Charley Hoffman,25,1291,,5.0,5514.0,
53,54,54,Tim Clark,26,1271,1.0,3.0,5534.0,
54,55,55,Kevin Chappell,28,1268,,1.0,5537.0,
55,56,56,Graeme McDowell,17,1256,,8.0,5549.0,
56,57,57,Daniel Summerhays,27,1242,,2.0,5563.0,
57,58,58,Marc Leishman,24,1240,,6.0,5565.0,
58,59,59,Steven Bowditch,30,1213,1.0,1.0,5592.0,
59,60,60,Ben Crane,25,1199,1.0,2.0,5606.0,
60,61,61,William McGirt,29,1182,,4.0,5623.0,
61,62,62,Jerry Kelly,23,1175,,4.0,5630.0,
62,63,63,Carl Pettersson,28,1173,,4.0,5632.0,
63,64,64,Erik Compton,28,1117,,3.0,5688.0,
64,65,65,Will MacKenzie,27,1092,,5.0,5713.0,
65,66,66,Freddie Jacobson,27,1068,,4.0,5737.0,
66,67,67,Matt Jones,25,1051,1.0,1.0,5754.0,
67,68,68,Phil Mickelson,21,1046,,1.0,5759.0,
68,69,69,K.J. Choi,23,1019,,2.0,5786.0,
69,70,70,Jason Bohn,25,1011,,3.0,5794.0,
70,71,71,Robert Streb,21,966,,2.0,5839.0,
71,72,72,Ryo Ishikawa,24,936,,3.0,5869.0,
72,73,73,Jason Kokrak,19,932,,2.0,5873.0,
73,74,74,David Hearn,28,930,,3.0,5875.0,
74,75,75,Justin Hicks,30,923,,3.0,5882.0,
75,76,76,Ben Martin,26,899,,3.0,5906.0,
76,77,77,Scott Langley,29,898,,1.0,5907.0,
77,78,78,Ian Poulter,17,892,,2.0,5913.0,
78,79,79,Brendan Steele,26,881,,4.0,5924.0,
79,80,80,Stewart Cink,25,866,,,5939.0,
80,81,81,Bo Van Pelt,25,866,,1.0,5939.0,
81,82,82,Gonzalo Fernandez-Castaño,25,863,,1.0,5942.0,
82,83,83,Shawn Stefani,17,842,,2.0,5963.0,
83,84,84,Scott Stallings,28,831,1.0,1.0,5974.0,
84,85,85,Scott Brown,30,821,,4.0,5984.0,
85,86,86,Brandt Snedeker,25,812,,3.0,5993.0,
86,87,87,Vijay Singh,25,800,,1.0,6005.0,
87,88,88,Danny Lee,28,800,,1.0,6005.0,
88,89,89,Luke Donald,17,798,,3.0,6007.0,
89,90,90,Jason Dufner,17,798,,4.0,6007.0,
90,91,91,Brendon de Jonge,31,762,,2.0,6043.0,
91,92,92,Jeff Overton,24,719,,3.0,6086.0,
92,93,93,Michael Putnam,30,708,,1.0,6097.0,
93,94,94,Andrew Svoboda,24,702,,2.0,6103.0,
94,95,95,Paul Casey,16,699,,,6106.0,
95,96,96,John Huh,28,698,,2.0,6107.0,
96,97,97,Billy Hurley III,26,685,,4.0,6120.0,
97,98,98,Pat Perez,25,682,,3.0,6123.0,
98,99,99,Robert Garrigus,25,678,,2.0,6127.0,
99,100,100,Andres Romero,26,655,,1.0,6150.0,
100,101,101,Troy Merritt,20,609,,1.0,6196.0,
101,102,102,Jonas Blixt,21,599,,1.0,6206.0,
102,103,103,Retief Goosen,26,591,,2.0,6214.0,
103,104,104,Kevin Kisner,26,587,,3.0,6218.0,
104,105,105,Nick Watney,25,584,,2.0,6221.0,
105,106,106,Luke Guthrie,26,580,,2.0,6225.0,
106,107,107,Lee Westwood,18,577,,2.0,6228.0,
107,108,108,Rory Sabbatini,26,567,,3.0,6238.0,
108,109,109,Bryce Molder,25,565,,2.0,6240.0,
109,110,110,Brian Davis,28,538,,,6267.0,
110,111,111,Boo Weekley,24,536,,1.0,6269.0,
111,112,112,Martin Flores,26,534,,1.0,6271.0,
112,113,113,Ricky Barnes,27,530,,2.0,6275.0,
113,114,114,Aaron Baddeley,24,528,,2.0,6277.0,
114,115,115,Jhonattan Vegas,23,528,,2.0,6277.0,
115,116,116,Steve Stricker,11,519,,2.0,6286.0,
116,117,117,Michael Thompson,22,515,,1.0,6290.0,
117,118,118,David Toms,20,502,,2.0,6303.0,
118,119,119,Tim Wilkinson,25,498,,3.0,6307.0,
119,120,120,Justin Leonard,22,491,,2.0,6314.0,
120,121,121,Brice Garnett,28,488,,1.0,6317.0,
121,122,122,Sangmoon Bae,24,466,,,6339.0,
122,123,123,James Hahn,27,456,,2.0,6349.0,
123,124,124,Louis Oosthuizen,16,453,,1.0,6352.0,
124,125,125,Robert Allenby,29,438,,,6367.0,
125,126,126,Nicholas Thompson,30,437,,1.0,6368.0,
126,127,127,Martin Laird,20,425,,1.0,6380.0,
127,128,128,J.J. Henry,28,425,,,6380.0,
128,129,129,Heath Slocum,23,419,,1.0,6386.0,
129,130,130,Charlie Beljan,26,409,,1.0,6396.0,
130,131,131,Ben Curtis,24,406,,1.0,6399.0,
131,132,132,Greg Chalmers,27,402,,1.0,6403.0,
132,133,133,John Merrick,25,399,,,6406.0,
133,134,134,David Lingmerth,26,391,,2.0,6414.0,
134,135,135,Roberto Castro,27,387,,1.0,6418.0,
135,136,136,Jonathan Byrd,24,383,,1.0,6422.0,
136,137,137,Andrew Loupe,22,380,,1.0,6425.0,
137,138,138,Richard Lee,27,376,,2.0,6429.0,
138,139,139,Mike Weir,25,375,,1.0,6430.0,
139,140,140,Brian Gay,26,375,,1.0,6430.0,
140,141,141,Briny Baird,17,366,,1.0,6439.0,
141,142,142,Willy Wilcox,16,362,,2.0,6443.0,
142,143,143,Bud Cauley,19,357,,1.0,6448.0,
143,144,144,Tyrone Van Aswegen,25,355,,,6450.0,
144,145,145,Trevor Immelman,28,354,,1.0,6451.0,
145,146,146,Hudson Swafford,26,351,,1.0,6454.0,
146,147,147,Jim Renner,25,346,,1.0,6459.0,
147,148,148,Josh Teater,28,334,,,6471.0,
148,149,149,Charlie Wi,25,329,,,6476.0,
149,150,150,Johnson Wagner,24,323,,1.0,6482.0,
150,151,151,Brad Fritsch,18,322,,3.0,6483.0,
151,152,152,Chad Campbell,18,317,,1.0,6488.0,
152,153,153,Wes Roach,22,314,,1.0,6491.0,
153,154,154,"Ted Potter, Jr.",24,311,,,6494.0,
154,155,155,James Driscoll,25,311,,,6494.0,
155,156,156,Tommy Gainey,26,311,,1.0,6494.0,
156,157,157,Ken Duke,25,305,,,6500.0,
157,158,158,Kyle Stanley,28,297,,1.0,6508.0,
158,159,159,Chad Collins,28,295,,1.0,6510.0,
159,160,160,Sean O'Hair,25,278,,1.0,6527.0,
160,161,161,Peter Hanson,13,262,,,6543.0,
161,162,162,Davis Love III,22,253,,,6552.0,
162,163,163,Spencer Levin,20,246,,,6559.0,
163,164,164,John Rollins,28,244,,,6561.0,
164,165,165,Troy Matteson,23,238,,1.0,6567.0,
165,166,166,Scott Piercy,12,238,,,6567.0,
166,167,167,Y.E. Yang,28,234,,,6571.0,
167,168,168,Woody Austin,22,225,,,6580.0,
168,169,169,Steve Marino,13,224,,,6581.0,
169,170,170,Joe Durant,15,221,,,6584.0,
170,171,171,Derek Ernst,28,218,,,6587.0,
171,172,172,Jamie Lovemark,20,212,,,6593.0,
172,173,173,D.A. Points,27,206,,,6599.0,
173,174,174,Jeff Maggert,19,195,,1.0,6610.0,
174,175,175,Thorbjørn Olesen,14,182,,1.0,6623.0,
175,176,176,Jason Gore,7,175,,1.0,6630.0,
176,177,177,Kevin Tway,23,172,,,6633.0,
177,178,178,Peter Malnati,18,172,,,6633.0,
178,179,179,John Peterson,25,170,,,6635.0,
179,180,180,Dicky Pride,13,159,,1.0,6646.0,
180,181,181,Tim Herron,15,157,,,6648.0,
181,182,182,Jim Herman,21,142,,,6663.0,
182,183,183,Mark Wilson,25,142,,,6663.0,
183,184,184,Eric Axley,10,141,,,6664.0,
184,185,185,Lucas Glover,26,129,,,6676.0,
185,186,186,Bronson La'Cassie,18,128,,,6677.0,
186,187,187,Scott Gardiner,18,125,,,6680.0,
187,188,188,Padraig Harrington,16,116,,,6689.0,
188,189,189,Miguel Angel Carballo,15,116,,,6689.0,
189,190,190,Stephen Ames,18,104,,,6701.0,
190,191,191,David Lynn,11,104,,,6701.0,
191,192,192,Tim Petrovic,10,96,,,6709.0,
192,193,193,D.H. Lee,20,94,,,6711.0,
193,194,194,Blake Adams,8,91,,,6714.0,
194,195,195,Ryuji Imada,9,90,,,6715.0,
195,196,196,Nicolas Colsaerts,12,88,,,6717.0,
196,197,197,Kenny Perry,5,83,,,6722.0,
197,198,198,Darren Clarke,15,83,,,6722.0,
198,199,199,Bernhard Langer,1,80,,1.0,6725.0,
199,200,200,Doug LaBelle II,12,79,,,6726.0,
200,201,201,Kevin Foley,15,78,,,6727.0,
201,202,202,David Duval,15,77,,,6728.0,
202,203,203,Rod Pampling,7,74,,1.0,6731.0,
203,204,204,Lee Williams,13,74,,,6731.0,
204,205,205,Bob Estes,2,73,,1.0,6732.0,
205,206,206,Alex Prugh,16,72,,,6733.0,
206,207,207,Cameron Beckman,12,72,,,6733.0,
207,208,208,Greg Owen,8,67,,,6738.0,
208,209,209,John Daly,15,63,,,6742.0,
209,210,210,José Coceres,6,59,,,6746.0,
210,211,211,Matt Bettencourt,14,57,,,6748.0,
211,212,212,Mark Anderson,8,55,,,6750.0,
212,213,213,Will Claxton,8,52,,,6753.0,
